Feature,Frequency,Frequency %
डिसप्ले-आस्पेक्ट रेशियो,2980,40.95094132197334
बैटरी-क्विक चार्जिंग,2692,36.99326645595713
जनरल-कस्टम यूआई,2540,34.904493610004124
बैटरी-टॉकटाइम,2391,32.85694654390546
स्टोरेज-यूएसबी ओटीजी सपोर्ट,2310,31.743850487838394
बैटरी-स्टैंडबाई टाइम,2001,27.497595162841833
डिज़ाइन-बिल्ड मटेरियल,1847,25.381338463652604
डिसप्ले-स्क्रीन प्रोटेक्शन,1654,22.729146626357018
डिसप्ले-स्क्रीन टू बॉडी रेशियो (ब्रांड के अनुसार),1461,20.07695478906143
खास फीचर्स-फोन बुक,1423,19.554761577573178
मल्टीमीडिया-म्यूज़िक,1404,19.29366497182905
खास फीचर्स-अन्य फीचर्स,1296,17.80953689707297
नेटवर्क और कनेक्टिविटी-सार वैल्यू,1213,16.668956987769683
मल्टीमीडिया-रिंग टोन,1176,16.160505702899545
खास फीचर्स-ब्राउज़र,1170,16.078054143190876
खास फीचर्स-गेम्स,1149,15.789473684210526
मल्टीमीडिया-वीडियो प्लेयर,1085,14.909990380651367
स्टोरेज-एक्सपैंडेबल मैमोरी,986,13.549539645458294
डिज़ाइन-वॉटरप्रूफ,924,12.697540195135357
मल्टीमीडिया-स्पेशल फीचर्स,740,10.169025697402775
मल्टीमीडिया-ऑडियो फीचर्स,701,9.633090559296413
डिज़ाइन-रग्डनेस,685,9.413219733406624
जनरल-ब्रांड,673,9.248316613989282
जनरल-मॉडल,671,9.220832760753057
जनरल-नेटवर्क,671,9.220832760753057
जनरल-सिम स्लॉट,591,8.12147863130411
जनरल-फिंगरप्रिंट सेंसर,475,6.527415143603134
खास फीचर्स-एसएमएस,458,6.293802391095231
जनरल-सिम साइज़,426,5.854060739315652
बैटरी-वायरलेस चार्जिंग,410,5.634189913425862
नेटवर्क और कनेक्टिविटी-वाई-फाई कॉलिंग,377,5.18070633502817
डिसप्ले-डिसप्ले कलर,323,4.43864229765013
जनरल-क्विक चार्जिंग,316,4.342448811323347
खास फीचर्स-जावा,306,4.205029545142229
खास फीचर्स-ऐप्लिकेशन,260,3.572900920709084
खास फीचर्स-एमएमएस,199,2.7346433970042603
नेटवर्क और कनेक्टिविटी-यूएसबी टाइप-सी,193,2.6521918372955886
खास फीचर्स-ईमेल,176,2.4185790847876873
नेटवर्क और कनेक्टिविटी-एचडीएमआई,154,2.1162566991892264
खास फीचर्स-तात्कालिक मैसेजन,115,1.5803215610828636
परफॉर्मेंस-को-प्रोसेसर,55,0.7558059639961523
खास फीचर्स-हार्ट रेट मॉनिटर,52,0.7145801841418167
नेटवर्क और कनेक्टिविटी-मोबाइल हाई डेफिनेशन लिंक (MHL),30,0.4122577985433558
खास फीचर्स-स्टायलस,30,0.4122577985433558
नेटवर्क और कनेक्टिविटी-सिम 3,27,0.3710320186890202
खास फीचर्स-आईरिस स्कैनर,15,0.2061288992716779
जनरल-इस नाम से भी जानते हैं,12,0.16490311941734231
खास फीचर्स-फिंगरप्रिंट सेंसर कस्टमाइजेशन,4,0.05496770647244744
परफॉर्मेंस-बूटअप टाइम (91मोबाइल्स द्वारा टेस्टेड),1,0.01374192661811186
